Filename,Foldername,"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"BACILLARIOPHYCEAE","Amphora",48.00,"0.0242"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",1067.00,"0.4267"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",145.00,"0.0365"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"BACILLARIOPHYCEAE","Pleurosigma",4.00,"0.0077"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",87285.00,"11.521"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",116381.00,"6.9828"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",48.00,"0.0155"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",1598293.00,"8.3910"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"DINOPHYCEAE","Gymnodiniales",48.00,"0.0969"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",97.00,"0.0484"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"DINOPHYCEAE","Peridiniales",97.00,"0.4849"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",339.00,"0.0271"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",1/12/2020 0:00:00,"OTHER PHYTOPLANKTON","Prasinophytes",97.00,"0.0097"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",,"TOTAL_ALGAE",,1803949.00,"28.073"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
ALS_SA_BGA_DATA_6796576.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796576","Stony Well",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
ALS_SA_BGA_DATA_6796577.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796577","North Jacks",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Amphora",2.00,"0.0009"
ALS_SA_BGA_DATA_6796577.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796577","North Jacks",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Centrales",48.00,"0.0096"
ALS_SA_BGA_DATA_6796577.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796577","North Jacks",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",339.00,"0.1354"
ALS_SA_BGA_DATA_6796577.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\December\1_12_2020,"ALS MELB","20-56146"," 6796577","North Jacks",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Pennales",4.00,"0.0011"
