Mean
Zone,D,D2,SAL,WQ_DIAG_HAB_ALTHENIA_FLOWER,WQ_DIAG_HAB_RUPPIA_FLOWER,WQ_DIAG_HAB_RUPPIA_FRUIT,WQ_DIAG_HAB_RUPPIA_PRESENT,WQ_DIAG_HAB_RUPPIA_REPRODUCTIVE,WQ_DIAG_HAB_RUPPIA_SEEDS,WQ_DIAG_MAC_ALTHENIA_NFLOWER,WQ_DIAG_MAC_ALTHENIA_NSEED,WQ_DIAG_MAC_MAC,WQ_DIAG_MAC_MAC_NFLOWER,WQ_DIAG_MAC_MAC_NFRUIT,WQ_DIAG_MAC_MAC_NSEED,WQ_DIAG_MAC_MAC_NSHOOT,WQ_DIAG_MAC_MAC_NTURION,WQ_DIAG_MAC_MAC_NTURION1,WQ_DIAG_MAC_MAC_NTURION2,WQ_DIAG_MAC_RUPPIA_NFLOWER,WQ_DIAG_MAC_RUPPIA_NSEED,WQ_DIAG_MAG_PCCOVER,WQ_DIAG_MAG_STATUS,
103, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
12, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
11, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
93, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
92, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
43,0.6785,0.7046,80.5621,0.0000,0.2620,0.2293,0.5599,0.5343,0.0000,0.0000,49.6361,17.6125,1.6098,2.4147,1001.8442,10666.1260,4241.6055,13.4152,4228.1904,1.6098,952.2081,6.7712,2.6581,
91,0.2000, NaN,24.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,1.0000,
42, NaN, NaN, NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.0000,
41,0.4044,1.3184,89.0457,0.0000,0.1531,0.0000,0.7656,0.7656,0.0000,10.9142,210.0993,36.8055,28.6499,4.0928,2060.0646,21565.1929,6575.8354,27.2856,6548.5498,17.7357,1849.9653,36.2264,2.5981,
33,0.2500, NaN,77.7289,0.0000,0.1559,0.0792,0.6844,0.5507,0.0000,0.0000,55.8752,10.6065,0.3211,0.3211,394.6587,6761.2200,2198.4000,35.9656,2162.4344,0.3211,338.7835,0.8371,1.4381,
32,0.4400, NaN,81.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,65.9754,0.0000,0.0000,0.0000,53410.2447,17018.0437,510.2412,16507.8025,0.0000,0.0000,0.0000,1.0000,
31,0.3810,0.9231,83.4589,0.0000,0.3836,0.0000,0.8219,0.4384,0.0000,0.8828,31.7797,42.4534,20.3037,9.7105,328.3905,28589.3953,7485.0084,286.9003,7198.1081,19.4209,296.6108,8.8889,2.0753,
63,0.0270, NaN,85.7662,0.0000,0.2078,0.2078,0.6104,0.6104,0.0000,24.0113,27.0128,10.0121,30.0142,3.0014,1041.4923,3943.8641,1857.8781,252.1192,1605.7590,6.0028,1014.4795,40.9836,3.6494,
62, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
83, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
61, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
82, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
23,0.3200,0.6555,75.7363,0.0608,0.2224,0.1217,0.6236,0.4049,0.0000,2.7791,26.1235,23.0063,2.7791,0.5558,866.5207,11994.0024,3830.6995,1.6675,3829.0320,0.0000,840.3972,0.0000,0.8403,
81,0.3687,1.1500,27.5000,0.0000,0.0000,0.0000,0.4688,0.4688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.0000,1.8750,
22,0.3235, NaN,89.2407,0.0000,0.0000,0.0000,0.4444,0.4444,0.0000,0.0000,0.0000,8.3588,0.0000,0.0000,0.0000,6570.9629,1976.6486,79.3232,1897.3254,0.0000,0.0000,0.0000,1.0000,
21,0.3382, NaN,88.5944,0.0000,0.0606,0.0000,0.6023,0.4848,0.0000,0.0000,1.7795,18.3654,4.4487,0.0000,40.9284,15634.6625,3727.1569,12.4565,3714.7004,4.4487,39.1489,0.0000,0.9394,


Max
Zone,D,D2,SAL,WQ_DIAG_HAB_ALTHENIA_FLOWER,WQ_DIAG_HAB_RUPPIA_FLOWER,WQ_DIAG_HAB_RUPPIA_FRUIT,WQ_DIAG_HAB_RUPPIA_PRESENT,WQ_DIAG_HAB_RUPPIA_REPRODUCTIVE,WQ_DIAG_HAB_RUPPIA_SEEDS,WQ_DIAG_MAC_ALTHENIA_NFLOWER,WQ_DIAG_MAC_ALTHENIA_NSEED,WQ_DIAG_MAC_MAC,WQ_DIAG_MAC_MAC_NFLOWER,WQ_DIAG_MAC_MAC_NFRUIT,WQ_DIAG_MAC_MAC_NSEED,WQ_DIAG_MAC_MAC_NSHOOT,WQ_DIAG_MAC_MAC_NTURION,WQ_DIAG_MAC_MAC_NTURION1,WQ_DIAG_MAC_MAC_NTURION2,WQ_DIAG_MAC_RUPPIA_NFLOWER,WQ_DIAG_MAC_RUPPIA_NSEED,WQ_DIAG_MAG_PCCOVER,WQ_DIAG_MAG_STATUS,
73,0.5900,    ,63.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,225.1064,1800.8512,234.8760,2251.0640,0.0000,1800.8512,127410.2212,16207.6607,7203.4047,16207.6607,2025.9576,900.4256,80.0000,7.0000,
72,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
71,0.9000,2.3000,    ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.0000,
53,0.7300,0.8000,137.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,225.1064,65505.9618,160.5661,450.2128,450.2128,69332.7706,125384.2637,78562.1329,8779.1495,78562.1329,450.2128,24086.3846,80.0000,7.0000,
102,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
101,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
52,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
51,0.4700,    ,120.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,225.1064,6077.8727,150.0132,450.2128,0.0000,8328.9367,109176.6030,55826.3867,0.0000,55826.3867,225.1064,6978.2983,100.0000,5.0000,
104,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
13,0.5000,    ,79.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.0000,
103,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
12,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
11,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
93,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
92,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
43,27.0000,1.1000,124.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,9004.2559,174.5588,450.2128,1800.8512,151496.6058,95895.3255,77886.8137,4502.1280,77886.8137,450.2128,151496.6058,20.0000,6.0000,
91,0.2000,    ,24.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.0000,
42,    ,    ,    ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.0000,
41,0.7000,2.1000,129.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,225.1064,2926.3832,132.4639,675.3192,450.2128,86665.9632,125834.4765,54475.7483,2025.9576,54475.7483,675.3192,85090.2184,100.0000,5.0000,
33,0.7300,    ,83.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,7203.4047,184.0155,225.1064,225.1064,17333.1926,66406.3874,28588.5125,3601.7024,28588.5125,225.1064,16432.7671,10.0000,6.0000,
32,0.4400,    ,81.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,85.0002,0.0000,0.0000,0.0000,73609.7921,31514.8957,1575.7448,31514.8957,0.0000,0.0000,0.0000,1.0000,
31,0.5500,1.9500,123.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,225.1064,1800.8512,214.5804,1800.8512,2251.0640,13056.1711,150596.1802,77436.6009,8103.8303,77436.6009,1800.8512,13056.1711,50.0000,5.0000,
63,0.1000,    ,107.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,225.1064,450.2128,75.6357,225.1064,225.1064,5627.6599,38268.0877,11030.2135,4051.9152,9454.4687,225.1064,5627.6599,100.0000,7.0000,
62,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
83,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
61,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
82,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
23,0.9500,0.7900,119.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,225.1064,1800.8512,188.6279,225.1064,225.1064,9454.4687,78337.0265,30164.2573,675.3192,30164.2573,0.0000,8554.0431,0.0000,1.0000,
81,1.7000,1.7000,29.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.0000,3.0000,
22,0.4000,    ,118.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,81.4660,0.0000,0.0000,0.0000,56051.4931,18908.9374,2701.2768,18908.9374,0.0000,0.0000,0.0000,1.0000,
21,0.5600,    ,121.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,225.1064,157.4056,450.2128,0.0000,900.4256,348239.5976,47722.5564,900.4256,47722.5564,450.2128,900.4256,0.0000,1.0000,
