Site,Chloride,Chlorophyll_b,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TDS,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TURBIDITY,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_PHS_FRP,WQ_SIL_RSI,
ALS_Stoney_Well,x,x,x,x,x,x,x,x, ,x,x,x,x,
ALS_North_Jacks_Point,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Seagull_Island,x,x,x,x,x,x,x,x, , ,x, ,x,
ALS_Snipe_Point,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Morella_Creek_at_Gauge,x, ,x,x,x,x,x,x,x,x,x, ,x,
ALS_Salt_Creek_Outlet,x,x,x,x,x,x,x,x,x,x,x, ,x,
ALS_18km_West_of_Salt_Creek,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_32km_South_of_Salt_Creek,x,x,x,x,x,x,x,x,x,x,x, ,x,
ALS_Tilley_Swamp_Drain_US_Morella,x,x,x,x,x,x,x,x,x,x,x, ,x,
ALS_Murray_Mouth,x, ,x,x,x,x,x,x,x,x,x,x,x,
ALS_US_Tauwitchere,x, ,x,x,x,x,x,x,x,x,x, ,x,
ALS_DS_Tauwitchere,x, ,x,x,x,x,x,x,x,x,x,x,x,
ALS_Mark_Point,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Long_Point,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Noonameena,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Bonneys,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_McGrath_Flat_North,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Parnka_Point,x, ,x,x,x,x,x,x,x,x,x,x,x,
ALS_Villa_de_Yumpa,x,x,x,x,x,x,x,x,x, ,x,x,x,
ALS_South_Policeman_Point,x,x,x,x,x,x,x,x,x,x,x, ,x,
ALS_Morella_Basin_at_Outlet_Regulator,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Morella_Basin_at_Gauge,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Tauwitchere_US,x,x,x,x,x,x,x,x,x, ,x, , ,
ALS_McGrath_Flat,x, ,x,x,x,x, ,x, ,x,x, ,x,
ALS_Tauwitchere_DS,x, ,x,x,x,x,x,x,x,x,x, ,x,
