ISOTIME,Flow_m3_s,sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5
01/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
02/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
03/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
04/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
05/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
06/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
07/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
08/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
09/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
10/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
11/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
12/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
13/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
14/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
15/01/1990 00:00,0,8.64765,15.29745217,0,0,0,1,0
16/01/1990 00:00,0.014931617,7.6131,15.29745217,0,0,0,1,0
17/01/1990 00:00,0.114262312,7.61145,15.29745217,0,0,0,1,0
18/01/1990 00:00,0.115129421,7.62355,15.29745217,0,0,0,1,0
19/01/1990 00:00,0.107488121,7.62245,15.29745217,0,0,0,1,0
20/01/1990 00:00,0.108050621,7.62465,15.29745217,0,0,0,1,0
21/01/1990 00:00,0.106526574,7.63125,15.29745217,0,0,0,1,0
22/01/1990 00:00,0.102214974,7.6692,15.29745217,0,0,0,1,0
23/01/1990 00:00,0.077330283,7.6384,15.29745217,0,0,0,1,0
24/01/1990 00:00,0.09770174,7.6285,15.29745217,0,0,0,1,0
25/01/1990 00:00,0.104179975,7.6307,15.29745217,0,0,0,1,0
26/01/1990 00:00,0.10277675,7.61475,15.29745217,0,0,0,1,0
27/01/1990 00:00,0.112978082,7.6395,15.29745217,0,0,0,1,0
28/01/1990 00:00,0.096857135,7.66645,15.29745217,0,0,0,1,0
29/01/1990 00:00,0.079073914,7.6538,15.29745217,0,0,0,1,0
30/01/1990 00:00,0.087480881,7.62465,15.29745217,0,0,0,1,0
31/01/1990 00:00,0.106632389,6.95585,15.29745217,0,0,0,1,0
01/02/1990 00:00,0.104259059,6.8684,17.39523054,0,0,0,1,0
02/02/1990 00:00,0.108765227,7.0312,17.39523054,0,0,0,1,0
03/02/1990 00:00,0.100582887,7.16375,17.39523054,0,0,0,1,0
04/02/1990 00:00,0.094520534,7.14725,17.39523054,0,0,0,1,0
05/02/1990 00:00,0.095241617,7.02625,17.39523054,0,0,0,1,0
06/02/1990 00:00,0.100816213,7.0301,17.39523054,0,0,0,1,0
07/02/1990 00:00,0.100634379,7.0818,17.39523054,0,0,0,1,0
08/02/1990 00:00,0.098204298,7.0257,17.39523054,0,0,0,1,0
09/02/1990 00:00,0.100862344,6.19575,17.39523054,0,0,0,1,0
10/02/1990 00:00,0.153335666,7.2798,17.39523054,0,0,0,1,0
11/02/1990 00:00,0.089577,7.4349,17.39523054,0,0,0,1,0
12/02/1990 00:00,0.083505667,7.5702,17.39523054,0,0,0,1,0
13/02/1990 00:00,0.078640652,7.568,17.39523054,0,0,0,1,0
14/02/1990 00:00,0.078703276,7.9497,17.39523054,0,0,0,1,0
15/02/1990 00:00,0.06680659,7.3436,17.39523054,0,0,0,1,0
