SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,EQL,EQL_Units,Comments,Lab_Qualifier,UCL,LCL
EM2216763001,"ALK_HYDROXIDE_CaCO3","Hydroxide Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763001,"ALK_CARBONATE_CaCO3","Carbonate Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763001,"ALK_BICARB_CaCO3","Bicarbonate Alkalinity as CaCO3",,77,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763001,"ALK_CACO3","Total Alkalinity as CaCO3",,77,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763001,"TURBIDITY","Turbidity",,65.4,NTU,T,REG,"Turbidity","EA045: Turbidity",,02-Sep-22,0.1,NTU,,,,
EM2216763001,"DOC","Dissolved Organic Carbon",,9,mg/L,T,REG,"Dissolved Organic Carbon","EP002: Dissolved Organic Carbon (DOC)",,03-Sep-22,1,mg/L,,,,
EM2216763001,"TOC","Total Organic Carbon",,8,mg/L,T,REG,"Total Organic Carbon","EP005: Total Organic Carbon (TOC)",,03-Sep-22,1,mg/L,,,,
EM2216763001,"16887-00-6","Chloride",,4680,mg/L,T,REG,"Chloride by Discrete Analyser","ED045G: Chloride by Discrete Analyser",02-Sep-22,03-Sep-22,1,mg/L,,,,
EM2216763001,"ReactiveSilica","Reactive Silica",,2.72,mg/L,T,REG,"Silica (Reactive) by Discrete Analyser","EG052G: Silica by Discrete Analyser",02-Sep-22,06-Sep-22,0.05,mg/L,,,,
EM2216763001,"14797-65-0(as N)","Nitrite as N",,0.01,mg/L,T,REG,"Nitrite as N by Discrete Analyser","EK057G:  Nitrite as N by Discrete Analyser",02-Sep-22,02-Sep-22,0.01,mg/L,,,,
EM2216763001,"14797-55-8(as N)","Nitrate as N",,0.05,mg/L,T,REG,"Nitrate as N by Discrete Analyser","EK058G:  Nitrate as N by Discrete Analyser",,07-Sep-22,0.01,mg/L,,,,
