Old Name,Old Units,New Name,New Units,Conv
Alkalinity_as_Calcium_Carbonate_mg_L,mg/L,Alkalinity_CACO3,mg/L,1
Ammonia_as_N_mg_L,mg/L,WQ_NIT_AMM,mmol/m^3,71.42857143
Chloride_mg_L,mg/L,Chloride,mg/L,1
Chlorophyll_a_ug_L,µg/L,WQ_DIAG_PHY_TCHLA,ug/L,1
Dissolved_Organic_Carbon_mg_L,mg/L,WQ_OGM_DOC,mmol/m^3,83.333333
Nitrate_Nitrite_as_N_mg_L,mg/L,WQ_NIT_NIT,mmol/m^3,71.42857143
Nitrogen_Total_mg_L,mg/L,WQ_DIAG_TOT_TN,mmol/m^3,71.42857143
Phosphorus_Total_mg_L,mg/L,WQ_DIAG_TOT_TP,mmol/m^3,32.25806452
Silica_Reactive_mg_L,mg/L,WQ_SIL_RSI,mmol/m^3,35.58718861
Total_Dissolved_Solids_by_evaporation_mg_L,mg/L,WQ_DIAG_TOT_TDS,mg/L,1
Total_Organic_Carbon_mg_L,mg/L,WQ_DIAG_TOT_TOC,mmol/m^3,83.333333
Turbidity_NTU,NTU,WQ_DIAG_TOT_TURBIDITY,NTU,1
pH_pH_units,pH units,pH,-,1
Algae_Total_cells_mL,,Algae_Cells,/mL,1
Dissolved_Organic_Carbon_mg_L,mg/L,WQ_OGM_DOC,mmol/m^3,83.333333
Acidity_as_Calcium_Carbonate_mg_L,mg/L,Acidity_CACO3,mg/L,1
Aluminium_Total_mg_L,mg/L,WQ_GEO_TAL,mmol /m^3,26.98
Bicarbonate_mg_L,mg/L,Bicarbonate,mg/L,1
Blue_Green_Algae_Total_cells_mL,/mL,BGA_Cells,/mL,1
Carbonate_mg_L,mg/L,Carbonate,mg/L,1
Chlorides_Total_as_NaCl_mg_L,mg/L,Chloride,mg/L,1
Chlorophyll_b_ug_L,ug/L,Chlorophyll_b,ug/L,1
Conductivity_uS_cm,uS/cm,Conductivity,uS/cm,1
Copper_Total_mg_L,mg/L,WQ_GEO_TCU,mmol /m^3,63.546
Dissolved_Oxygen_mg_L,mg/L,WQ_OXY_OXY,mmol /m^3,31.25
