Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone,SAL,TEMP,WQ_CAR_PH,WQ_DIAG_CAR_CH4_DSF,WQ_DIAG_EC25,WQ_DIAG_HAB_BMIi_HSI_IND,WQ_DIAG_NCS_FS001,WQ_DIAG_NCS_FS002,WQ_DIAG_NCS_FS003,WQ_DIAG_NCS_FS004,WQ_DIAG_NCS_FS005,WQ_DIAG_NCS_FS1,WQ_DIAG_NCS_SED_d50,WQ_DIAG_NCS_fs001,WQ_DIAG_NCS_fs002,WQ_DIAG_NCS_fs003,WQ_DIAG_NCS_fs004,WQ_DIAG_NCS_fs005,WQ_DIAG_NCS_fs006,WQ_DIAG_NCS_fs007,WQ_DIAG_NIT_AMM_DSF,WQ_DIAG_NIT_N2O_DSF,WQ_DIAG_NIT_NIT_DSF,WQ_DIAG_OGM_DOC_SWI,WQ_DIAG_OXY_OXY_DSF,WQ_DIAG_PHS_FRP_DSF,WQ_DIAG_PHY_MPB_BEN,WQ_DIAG_SDF_FSED_AMM,WQ_DIAG_SDF_FSED_CH4,WQ_DIAG_SDF_FSED_DOC,WQ_DIAG_SDF_FSED_FRP,WQ_DIAG_SDF_FSED_N2O,WQ_DIAG_SDF_FSED_NIT,WQ_DIAG_SDF_FSED_OXY,WQ_DIAG_SDG_AMM05,WQ_DIAG_SDG_AMM10,WQ_DIAG_SDG_ARPD,WQ_DIAG_SDG_AVS,WQ_DIAG_SDG_CRS,WQ_DIAG_SDG_CRS03,WQ_DIAG_SDG_CRS10,WQ_DIAG_SDG_CRS20,WQ_DIAG_SDG_EC15,WQ_DIAG_SDG_FEII05,WQ_DIAG_SDG_FEII10,WQ_DIAG_SDG_H2S05,WQ_DIAG_SDG_H2S10,WQ_DIAG_SDG_MOISTURE,WQ_DIAG_SDG_Moisture,WQ_DIAG_SDG_OM,WQ_DIAG_SDG_OPD,WQ_DIAG_SDG_PASS,WQ_DIAG_SDG_PASS03,WQ_DIAG_SDG_PASS10,WQ_DIAG_SDG_PASS20,WQ_DIAG_SDG_PH15,WQ_DIAG_SDG_PO405,WQ_DIAG_SDG_PO410,WQ_DIAG_SDG_RAP,WQ_DIAG_SDG_TFE,WQ_DIAG_SDG_TFE03,WQ_DIAG_SDG_TFE10,WQ_DIAG_SDG_TFE20,WQ_DIAG_SDG_TIC,WQ_DIAG_SDG_TN,WQ_DIAG_SDG_TN03,WQ_DIAG_SDG_TN10,WQ_DIAG_SDG_TN20,WQ_DIAG_SDG_TOC,WQ_DIAG_SDG_TOC03,WQ_DIAG_SDG_TOC10,WQ_DIAG_SDG_TOC20,WQ_DIAG_SDG_TP,WQ_DIAG_SDG_TP03,WQ_DIAG_SDG_TP10,WQ_DIAG_SDG_TP20,WQ_DIAG_SDG_pH15,WQ_DIAG_TC,WQ_DIAG_TOT_TURBIDITY,WQ_OXY_OXY,WQ_OXY_SAT
11, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
12, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
13,120.6667, NaN,6.9667, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.0003, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,1.3139, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,3.0527, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,236.9792,92.0167
21, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22,105.2167,19.2667,8.03, NaN,135700.3333, NaN,0.0001,0.0045,0.0053,0.0011,0.0003,0.0044, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,-96.1719, NaN, NaN,2.6091,0.0235,0.1626, NaN, NaN, NaN,64.6899,40.7942,42.245, NaN, NaN,0.5927, NaN, NaN, NaN,101.3998, NaN, NaN, NaN,8.795, NaN, NaN,5.8182,4355.9017, NaN, NaN, NaN,4.3587,0.721, NaN, NaN, NaN,5.6765, NaN, NaN, NaN,204.0381, NaN, NaN, NaN, NaN,8.4444,8.5667,0.1567,98.5
23,59.415,20.6,9.235, NaN,78825,24483.9174,0.0013,0.0092,0.0092,0.0002,0.0001,0.0007,0.0003,0.0839,0.2339,0.1946,0.281,0.159,0.046,0.0015, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,5.1,0.0029,0.0556, NaN, NaN, NaN,17.0217, NaN, NaN, NaN, NaN,0.2878,23.9157,0.7875,0.2,34.7043, NaN, NaN, NaN,9.27, NaN, NaN,12,1312.0319, NaN, NaN, NaN,8.3601,0.0833, NaN, NaN, NaN,6.5311, NaN, NaN, NaN,3538941.317, NaN, NaN, NaN,9.19,8.62,4.2,0.3197,143.15
31, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
32,70.8133,20.75,8.185, NaN,136625.5, NaN,0,0.0038,0.0042,0.0006,0.0002,0.0056, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.38,0.0531,0.244, NaN, NaN, NaN,74.7327, NaN, NaN, NaN, NaN,0.7275, NaN, NaN, NaN,152.1537, NaN, NaN, NaN,8.5033, NaN, NaN,3.2,8963.4701, NaN, NaN, NaN,3.1149,0.5167, NaN, NaN, NaN,4.1385, NaN, NaN, NaN,438.3333, NaN, NaN, NaN, NaN,7.2533,13.35,0.1837,119.5
33,89.8333, NaN,7.1133, NaN, NaN,1440.2304,0,0.0091,0.0091,0.0001,0.0001,0.0008,0.0005,0.0616,0.0653,0.099,0.2868,0.4016,0.0829,0.0029, NaN, NaN, NaN, NaN, NaN, NaN,2.7945, NaN, NaN, NaN, NaN, NaN, NaN,-22.0957,51.4906,325.1115,1.35,0.0166,0.0366,0.0302,0.0359,0.0311,11.2521,27.4408,37.0073, NaN, NaN,0.2514,20.354,1.8727,0.2,22.8263,18.837,22.4183,19.3952,9.3173,-5.4535,4.5906,0.5,1360.8654,720.2898,488.5381,484.033,1.5644,0.0817,0.11,0.043,0.055,2.8748,0.83,0.27,0.296,926830.6442,105,30,38,9.15,2.17, NaN,265.7812,114.1833
41, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.1, NaN, NaN,0.0956, NaN, NaN,21.8221, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,59.599, NaN, NaN,9.06, NaN, NaN,0, NaN,2778.0063, NaN, NaN, NaN, NaN,0.221, NaN, NaN, NaN,1.81, NaN, NaN, NaN,266, NaN, NaN, NaN, NaN, NaN, NaN, NaN
