siteCode,siteLatitude,siteLongitude,siteID,siteDate,plantsPresent,siteAccess,Seasonal.Sample::bagNumber,Seasonal.Sample::biomassDW,Seasonal.Sample::seedCountR_megacarpa,Seasonal.Sample::seedCountR_tuberosa,Seasonal.Sample::flowerCountAlthenia,Seasonal.Sample::flowerCountRuppia,Seasonal.Sample::fruitCountRuppia,Seasonal.Sample::shootCount,Seasonal.Sample::turionT2Count,Seasonal.Sample::turionT1Count
A–2,-35.855856,139.370608,C7D81586-A409-4A74-B156-2BDA90A2BBDB,2020-09-30,1,Hovercraft,2,0.3999,0,20,1,0,0,116,0,2
,,,,,,,3,0.3732,3,15,0,0,0,167,0,10
,,,,,,,4,0.3431,0,12,0,0,0,222,0,17
,,,,,,,5,0.3179,0,5,0,1,0,149,0,1
,,,,,,,6,0.2005,0,32,0,0,0,47,0,0
,,,,,,,7,0.4493,0,35,1,0,0,179,0,0
,,,,,,,13,0.1977,1,18,0,0,0,64,0,0
,,,,,,,12,0.2163,1,73,1,0,0,101,0,1
,,,,,,,11,0.0811,0,15,0,0,0,59,0,0
,,,,,,,19,0.34398,5,50,1,0,0,238,0,6
,,,,,,,20,0.1986,1,9,0,0,0,152,0,2
,,,,,,,17,0.3832,5,8,0,0,0,178,0,6
,,,,,,,16,0.1901,0,19,0,0,0,160,0,10
,,,,,,,14,0.52964,0,2,22,0,0,173,0,33
,,,,,,,15,0.5212,1,13,0,0,0,176,0,16
A–21,-35.852433,139.384798,9BCDD423-3EF8-493D-97C8-3E951A1A5952,2020-09-30,1,Ambulatory,21,0.276,3,19,0,0,0,130,0,0
,,,,,,,22,0.272,2,6,0,1,0,236,0,29
,,,,,,,23,0.2885,0,6,1,0,0,223,0,6
,,,,,,,24,0.4132,3,12,0,0,0,232,0,0
,,,,,,,25,0.4499,2,6,0,1,0,236,0,29
,,,,,,,26,0.4355,0,3,1,0,0,313,0,0
,,,,,,,27,0.0828,3,20,0,0,0,69,0,3
,,,,,,,28,0.2919,1,8,0,0,0,138,0,9
,,,,,,,30,0.2122,1,18,0,0,0,128,0,0
,,,,,,,29,0.2567,1,5,0,0,0,139,0,5
,,,,,,,32,0.2382,0,0,1,0,0,110,0,25
,,,,,,,33,0.215,1,4,0,0,0,153,0,0
,,,,,,,34,0.2894,0,4,0,0,0,241,0,27
,,,,,,,35,0.0501,0,4,0,0,0,38,0,0
,,,,,,,36,0.3158,2,21,0,0,0,162,0,0
A–44,-35.902379,139.398468,B55874C7-504E-4CF9-97F5-85986DB6AD01,2020-09-30,1,Ambulatory,44,0.2727,4,12,0,0,0,182,0,1
,,,,,,,43,0.1598,7,22,0,0,0,95,0,0
,,,,,,,45,0.378,11,19,0,0,0,124,0,11
,,,,,,,201,0.2502,23,24,0,0,0,135,0,7
,,,,,,,203,0.2192,6,2,0,0,0,214,0,0
,,,,,,,202,0.2228,3,8,0,0,0,121,0,2
,,,,,,,204,0.2634,7,15,0,0,0,115,0,0
,,,,,,,205,0.125,3,4,0,0,0,135,0,6
,,,,,,,206,0.0981,4,26,0,0,0,97,0,1
,,,,,,,207,0.2225,3,2,0,0,0,95,0,10
,,,,,,,208,0.2299,16,14,1,0,0,193,0,0
,,,,,,,209,0.1147,8,29,0,0,0,93,0,0
,,,,,,,210,0.1182,12,11,0,0,0,104,0,0
,,,,,,,211,0.1631,15,50,0,0,0,126,0,0
A–112,-35.75446,139.260863,6BA3477B-570C-436D-A8EC-B28479ABF7F0,2020-10-01,1,Ambulatory,112,0.17124,0,0,0,0,0,62,0,7
,,,,,,,114,0.03695,0,0,0,0,0,40,0,0
,,,,,,,47,0,0,0,0,0,0,0,0,0
,,,,,,,46,0.10104,0,1,0,0,0,81,0,16
,,,,,,,41,0.10777,0,0,0,0,0,64,0,4
,,,,,,,40,0,1,0,0,0,0,0,0,0
,,,,,,,39,0,0,1,0,0,0,0,0,0
,,,,,,,38,0,1,0,0,0,0,0,0,0
,,,,,,,37,0,0,2,0,0,0,0,0,0
,,,,,,,215,0.00872,0,1,0,0,0,7,0,0
,,,,,,,214,0,0,0,0,0,0,0,0,0
,,,,,,,213,0.20967,0,0,0,0,0,101,0,4
,,,,,,,223,0,0,0,0,0,0,0,0,0
,,,,,,,222,0.11101,0,0,0,0,0,72,0,1
,,,,,,,221,0,0,0,0,0,0,0,0,0
,,,,,,,113,0.25378,0,0,0,0,0,63,0,9
A–130,-35.755372,139.26121,B634B828-68F5-4A55-90F3-2C5A6EC2517E,2020-10-01,1,Ambulatory,130,0,0,0,0,0,0,0,0,0
,,,,,,,129,0.09999,0,0,0,0,0,30,0,7
,,,,,,,128,0.0589,0,2,0,0,0,23,0,0
,,,,,,,127,0.00122,1,1,0,0,0,1,0,0
,,,,,,,126,0.33025,0,0,0,0,0,157,0,0
,,,,,,,124,0.11592,0,0,0,0,0,89,0,2
,,,,,,,123,0.05618,0,2,0,0,0,33,0,0
,,,,,,,122,0.2991,1,0,0,0,0,137,0,0
,,,,,,,121,0.36213,0,0,0,1,0,186,0,5
,,,,,,,120,0.1123,0,0,0,0,0,112,0,2
,,,,,,,119,0.20481,1,1,0,0,0,176,0,2
,,,,,,,118,0.07106,0,1,0,0,0,28,0,0
,,,,,,,117,0.04893,0,1,0,0,0,60,0,0
,,,,,,,116,0.20157,1,0,0,2,0,0,0,0
,,,,,,,115,0.3194,0,0,0,0,0,149,0,4
A–142,-35.909943,139.451489,97D56965-35BA-4203-A939-4020CCCF1D55,2020-10-01,1,Ambulatory,142,0.0053,0,57,0,0,0,5,0,0
,,,,,,,144,0.08533,0,28,0,0,0,122,0,11
,,,,,,,145,0.0397,1,33,0,0,0,70,0,5
,,,,,,,146,0.0507,0,30,0,0,0,43,0,3
,,,,,,,147,0,0,50,0,0,0,0,0,0
,,,,,,,148,0.00287,0,31,0,0,0,6,0,0
,,,,,,,149,0.1078,0,10,0,0,0,16,0,0
,,,,,,,150,0,0,12,0,0,0,0,0,0
,,,,,,,291,0,0,4,0,0,0,0,0,0
,,,,,,,224,0,0,0,0,0,0,0,0,0
,,,,,,,225,0,0,2,0,0,0,15,0,0
,,,,,,,226,0.01518,0,23,0,0,0,44,0,8
,,,,,,,227,0,0,8,0,0,0,0,0,0
,,,,,,,228,0.00223,2,29,0,0,0,8,0,0
,,,,,,,229,0.00601,0,83,0,0,0,14,0,0
A–251,-35.854312,139.364119,638CA018-50EB-4FF3-9340-5C6B653D6BD5,2020-09-30,1,Hovercraft,251,0.2189,0,16,0,0,0,90,0,0
,,,,,,,255,0.0445,2,17,0,0,0,57,0,0
,,,,,,,260,0.2409,0,25,0,0,0,93,0,0
,,,,,,,253,0.0964,0,7,0,0,0,43,0,0
,,,,,,,254,0.2192,0,7,0,0,0,99,0,1
,,,,,,,256,0.1582,0,4,0,0,0,44,0,0
,,,,,,,257,0.1456,0,18,0,0,0,92,0,0
,,,,,,,10,0.1221,0,1,0,0,0,94,0,0
,,,,,,,18,0.2443,0,24,3,0,0,45,0,0
,,,,,,,8,0.1391,0,7,1,0,0,61,0,0
,,,,,,,9,0.075,1,10,1,0,0,14,0,0
,,,,,,,258,0.139,0,10,0,0,0,67,0,0
,,,,,,,259,0.278,0,12,0,0,0,170,0,0
,,,,,,,262,0.1733,0,7,0,1,0,98,0,0
,,,,,,,261,0.336,0,11,0,1,0,117,0,0
A–277,-35.85558,139.347931,F91D0ADE-564B-487E-AAC1-975EC32D13E6,2020-09-30,1,Hovercraft,277,0.1556,0,0,1,0,0,178,0,0
,,,,,,,268,0.237,0,0,0,0,0,192,0,18
,,,,,,,270,0.2403,0,2,0,0,0,214,0,0
,,,,,,,269,0.1654,0,0,0,0,0,266,0,0
,,,,,,,271,0.2441,0,0,2,0,0,300,0,0
,,,,,,,263,0.1546,0,0,6,0,0,197,0,1
,,,,,,,264,0.2458,2,0,1,0,0,283,0,1
,,,,,,,265,0.142,0,0,0,1,0,117,0,0
,,,,,,,272,0.2485,0,0,1,0,0,232,0,6
,,,,,,,266,0.2308,0,2,1,0,0,293,0,12
,,,,,,,267,0.1952,0,0,0,0,0,297,0,0
,,,,,,,274,0.0013,0,7,0,0,0,4,0,0
,,,,,,,275,0.0657,1,0,0,0,0,90,0,0
,,,,,,,273,0.462,0,1,0,0,0,60,0,13
,,,,,,,278,0.0695,0,4,1,0,0,76,0,8
,,,,,,,276,0.2192,0,0,6,0,0,197,0,1
A–292,-36.058973,139.585888,9A7CDB82-0BD1-4670-AD07-720E812AE832,2020-09-30,0,Ambulatory,292,0.09375,0,5,0,0,0,66,0,0
,,,,,,,293,0.03055,0,1,0,0,0,18,0,0
,,,,,,,294,0.01229,0,13,0,0,0,9,0,0
,,,,,,,295,0.04735,0,0,0,0,0,25,0,0
,,,,,,,131,0.03145,0,3,0,0,0,14,0,0
