ISOTIME,Boundary_m3_s,sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5,ss1,ret,oxy,rsi,amm,nit,frp,frp_ads,doc,poc,don,pon,dop,pop,grn,mag_ulva,mag_ulva_in,mag_ulva_ip
01/01/2013 00:00,0.240000,0.328800,26.555400,0.000000,0.000000,100.000000,0.000000,0.000000,0.553700,19124604.000000,217.972000,155.993800,1.667200,0.000000,0.017100,0.000600,575.652500,96.493400,58.156600,67.512100,1.504700,2.621900,303.145900,0.000000,0.000000,0.000000
02/01/2013 00:00,0.250000,0.328800,26.555400,0.000000,0.000000,100.000000,0.000000,0.000000,0.553700,19124604.000000,217.972000,155.993800,1.667200,0.000000,0.017100,0.000600,575.652500,96.493400,58.156600,67.512100,1.504700,2.621900,303.145900,0.000000,0.000000,0.000000
03/01/2013 00:00,0.200000,0.315600,25.538100,0.000000,0.000000,100.000000,0.000000,0.000000,0.826200,19124604.000000,238.804100,155.993800,1.667200,0.000000,0.018100,0.001000,575.652500,96.493400,57.054100,68.065200,1.504700,2.621900,295.417900,0.000000,0.000000,0.000000
04/01/2013 00:00,0.150000,0.320600,21.938800,0.000000,0.000000,100.000000,0.000000,0.000000,0.580400,19124604.000000,260.950400,155.993800,1.667200,0.000000,0.014600,0.000600,575.652500,96.493400,57.769100,68.605100,1.504700,2.621900,301.314500,0.000000,0.000000,0.000000
05/01/2013 00:00,0.200000,0.324600,20.221200,0.000000,0.000000,100.000000,0.000000,0.000000,0.404900,19124604.000000,274.144600,155.993800,1.667200,0.000000,0.013700,0.000400,575.652500,96.493400,58.342800,68.925800,1.504700,2.621900,305.501100,0.000000,0.000000,0.000000
06/01/2013 00:00,0.220000,0.328000,19.735800,0.000000,0.000000,100.000000,0.000000,0.000000,0.278500,19124604.000000,275.454700,155.993800,1.667200,0.000000,0.013400,0.000300,575.652500,96.493400,58.801000,69.074900,1.504700,2.621900,308.812400,0.000000,0.000000,0.000000
07/01/2013 00:00,0.110000,0.331300,22.004500,0.000000,0.000000,100.000000,0.000000,0.000000,0.201200,19124604.000000,263.352000,155.993800,1.667200,0.000000,0.014100,0.000200,575.652500,96.493400,59.251000,69.361300,1.504700,2.621900,311.612700,0.000000,0.000000,0.000000
08/01/2013 00:00,0.130000,0.334500,26.146500,0.000000,0.000000,100.000000,0.000000,0.000000,0.152200,19124604.000000,238.384700,155.993800,1.667200,0.000000,0.017300,0.000200,575.652500,96.493400,59.617600,69.588600,1.504700,2.621900,314.884800,0.000000,0.000000,0.000000
09/01/2013 00:00,0.220000,0.336800,23.686200,0.000000,0.000000,100.000000,0.000000,0.000000,0.110900,19124604.000000,244.920900,155.993800,1.667200,0.000000,0.014700,0.000100,575.652500,96.493400,59.793300,69.572400,1.504700,2.621900,318.141100,0.000000,0.000000,0.000000
10/01/2013 00:00,0.000000,0.339600,25.094100,0.000000,0.000000,100.000000,0.000000,0.000000,0.079900,19124604.000000,239.004300,155.993800,1.667200,0.000000,0.016400,0.000100,575.652500,96.493400,60.056400,69.636800,1.504700,2.621900,321.327900,0.000000,0.000000,0.000000
11/01/2013 00:00,0.000000,0.342800,25.094900,0.000000,0.000000,100.000000,0.000000,0.000000,0.057600,19124604.000000,244.905500,155.993800,1.667200,0.000000,0.016600,0.000100,575.652500,96.493400,60.376900,69.769400,1.504700,2.621900,325.288300,0.000000,0.000000,0.000000
