"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"BACILLARIOPHYCEAE","Centrales",2206.00,"0.4412"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales",245.00,"0.0735"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",5393.00,"0.3235"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Colonial green (cells)",784.00,"0.0784"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Crucigenia",392.00,"0.0117"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Dictyosphaerium",6863.00,"0.1372"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Didymocystis",196.00,"0.0080"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Dimorphococcus",784.00,"0.0156"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Lagerheimia",1226.00,"0.6128"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Monoraphidium  (small)",5148.00,"0.0823"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Monoraphidium (large)",49.00,"0.0196"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Oocystis",7599.00,"2.2796"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Pediastrum",98.00,"0.0058"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Planctonema",1961.00,"1.5687"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Scenedesmus",2696.00,"0.6740"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Schroederia",49.00,"0.0269"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Staurastrum",49.00,"0.0980"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Tetraedron",147.00,"0.0220"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CHLOROPHYCEAE","Tetrastrum",196.00,"0.0078"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",490.00,"0.1568"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CYANOPHYCEAE","Aphanizomenonaceae family - straight",637.00,"0.0427"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CYANOPHYCEAE","Cuspidothrix issatschenkoi",490.00,"0.0279"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CYANOPHYCEAE","Limnolyngbya (Planktolyngbya circumcreta)
Limnolyngbya (Planktolyngbya circumcreta)",19365.00,"0.0948"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CYANOPHYCEAE","Planktolyngbya",28434.00,"0.1080"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CYANOPHYCEAE","Romeria",539.00,"0.0167"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CYANOPHYCEAE","Sphaerospermopsis aphanizomenoides",22.00,"0.0021"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",53437.00,"0.2805"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"EUGLENOPHYCEAE","Euglena",2.00,"0.0137"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",20/4/2022 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",245.00,"0.0196"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",,"TOTAL_ALGAE",,139742.00,"7.2507"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",,"TOTAL_POTENTIALLY_TOXIC_BGA",,637.00,"0.0427"
"ALS MELB","22-19601"," 7428771","DS Tauwitchere",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
