Date,T.Max,T.Min,Rain,Evap,Radn,VP,RHmaxT,RHminT,Tav,Rhav,sal,trace_1,trace_2,trace_3,trace_4,trace_5
08/02/1960 00:00,25.6,13.8,0,7,20.9,16.8,51.2,100,19.7,75.6,0,0,0,100,0,0
09/02/1960 00:00,29.9,14.4,0,6.9,24.7,14.8,35.1,90.3,22.15,62.7,0,0,0,100,0,0
10/02/1960 00:00,32.7,16,0,7,12.3,16.2,32.8,89.2,24.35,61,0,0,0,100,0,0
11/02/1960 00:00,21.7,16.8,3.8,7.1,22.6,11.1,42.8,58.1,19.25,50.45,0,0,0,100,0,0
12/02/1960 00:00,27.2,10.8,0,7.2,14.6,10.4,28.8,80.3,19,54.55,0,0,0,100,0,0
13/02/1960 00:00,20.9,16.9,6.4,7.2,7.4,19.1,77.3,99.3,18.9,88.3,0,0,0,100,0,0
14/02/1960 00:00,20.6,14.3,15.2,7.2,22.9,14.1,58.1,86.6,17.45,72.35,0,0,0,100,0,0
15/02/1960 00:00,22.9,10.9,0,7.2,16.8,12.1,43.3,92.9,16.9,68.1,0,0,0,100,0,0
16/02/1960 00:00,20.8,14.8,0.5,7.2,8.6,16.2,66,96.3,17.8,81.15,0,0,0,100,0,0
17/02/1960 00:00,22.8,13.5,0,7.2,25,13,46.9,84.1,18.15,65.5,0,0,0,100,0,0
18/02/1960 00:00,27.3,9.5,0,7,28.1,10.3,28.4,86.8,18.4,57.6,0,0,0,100,0,0
19/02/1960 00:00,32.3,11.8,0,6.8,27.4,12.5,25.8,90.4,22.05,58.1,0,0,0,100,0,0
20/02/1960 00:00,33.7,16,0,6.6,27.2,12.1,23.1,66.6,24.85,44.85,0,0,0,100,0,0
21/02/1960 00:00,33,18.9,0,6.4,19.7,12.8,25.4,58.6,25.95,42,0,0,0,100,0,0
22/02/1960 00:00,24.2,18.6,0,6.4,10.3,18.9,62.6,88.2,21.4,75.4,0,0,0,100,0,0
23/02/1960 00:00,23.5,9.5,0,6.5,24.4,13,44.9,100,16.5,72.45,0,0,0,100,0,0
24/02/1960 00:00,22.8,13,0,6.3,16.6,15.6,56.2,100,17.9,78.1,0,0,0,100,0,0
25/02/1960 00:00,20,13.7,1.3,6.2,16.6,11.8,50.5,75.3,16.85,62.9,0,0,0,100,0,0
26/02/1960 00:00,23.1,8.1,0,6.1,26.3,9.6,34,88.9,15.6,61.45,0,0,0,100,0,0
27/02/1960 00:00,31.1,9.7,0,6,26.1,11.7,25.9,97.3,20.4,61.6,0,0,0,100,0,0
28/02/1960 00:00,30.9,13.4,0,5.7,26.1,13.8,30.9,89.8,22.15,60.35,0,0,0,100,0,0
29/02/1960 00:00,31.3,15.7,0,6,25.6,12.6,27.6,70.7,23.5,49.15,0,0,0,100,0,0
01/03/1960 00:00,34,16.6,0,6.1,25.9,12.2,22.9,64.6,25.3,43.75,0,0,0,100,0,0
02/03/1960 00:00,34.7,17.7,0,6.3,20.2,12.6,22.8,62.2,26.2,42.5,0,0,0,100,0,0
03/03/1960 00:00,23.6,15.2,0,6.3,23.2,13.7,47,79.4,19.4,63.2,0,0,0,100,0,0
04/03/1960 00:00,26.6,9.3,0,6.3,24.3,13.4,38.5,100,17.95,69.25,0,0,0,100,0,0
05/03/1960 00:00,20,12.9,0,6.1,7,14,59.9,94.2,16.45,77.05,0,0,0,100,0,0
06/03/1960 00:00,19.6,10.7,13.7,6,13.8,14.5,63.6,100,15.15,81.8,0,0,0,100,0,0
07/03/1960 00:00,19.9,12.9,3,5.8,9,13.7,59,92.1,16.4,75.55,0,0,0,100,0,0
08/03/1960 00:00,24.3,11.1,0,5.8,21.2,13.7,45.1,100,17.7,72.55,0,0,0,100,0,0
09/03/1960 00:00,23.2,10.9,0,5.7,20.3,15.6,54.9,100,17.05,77.45,0,0,0,100,0,0
10/03/1960 00:00,19.7,10.8,0,5.7,10.3,10.2,44.5,78.8,15.25,61.65,0,0,0,100,0,0
11/03/1960 00:00,20.8,11,0,5.6,15.2,13.1,53.4,99.9,15.9,76.65,0,0,0,100,0,0
12/03/1960 00:00,20.4,10.6,0,5.7,19.6,10.1,42.2,79.1,15.5,60.65,0,0,0,100,0,0
13/03/1960 00:00,21.1,12,0,5.5,13,11.7,46.8,83.5,16.55,65.15,0,0,0,100,0,0
14/03/1960 00:00,22.4,11,0,5.3,22.7,11.8,43.6,90,16.7,66.8,0,0,0,100,0,0
15/03/1960 00:00,27.2,10.6,0,5.2,21.8,14.3,39.6,100,18.9,69.8,0,0,0,100,0,0
16/03/1960 00:00,30.5,14.7,0,5.3,15.4,12.3,28.2,73.6,22.6,50.9,0,0,0,100,0,0
17/03/1960 00:00,31.5,16.5,0,5.3,21.7,10.2,22.1,54.4,24,38.25,0,0,0,100,0,0
18/03/1960 00:00,33.3,15.3,0,5.2,15,10.5,20.5,60.4,24.3,40.45,0,0,0,100,0,0
19/03/1960 00:00,32,18.1,0,5,10.9,12,25.2,57.8,25.05,41.5,0,0,0,100,0,0
20/03/1960 00:00,28.9,20.4,0,4.9,9.3,13.3,33.4,55.5,24.65,44.45,0,0,0,100,0,0
21/03/1960 00:00,19.8,16.4,0,4.8,7.9,17.5,75.8,93.9,18.1,84.85,0,0,0,100,0,0
22/03/1960 00:00,22,13,0,4.7,13.4,11.4,43.1,76.2,17.5,59.65,0,0,0,100,0,0
23/03/1960 00:00,22.9,10.1,0,4.8,18.8,12.5,44.8,100,16.5,72.4,0,0,0,100,0,0
24/03/1960 00:00,26.5,9.3,0,4.7,14.7,12,34.7,100,17.9,67.35,0,0,0,100,0,0
25/03/1960 00:00,31.4,13.9,0,4.8,21.2,11,23.9,69.3,22.65,46.6,0,0,0,100,0,0
26/03/1960 00:00,26.3,17.8,0,4.7,15.3,12.5,36.5,61.4,22.05,48.95,0,0,0,100,0,0
27/03/1960 00:00,25.1,12.7,0,4.4,16.4,14.1,44.3,96.1,18.9,70.2,0,0,0,100,0,0
28/03/1960 00:00,28.8,12.5,0,4.2,18,12.8,32.3,88.4,20.65,60.35,0,0,0,100,0,0
29/03/1960 00:00,37.3,14.7,0,4.2,18.9,11.2,17.6,67,26,42.3,0,0,0,100,0,0
30/03/1960 00:00,31.4,18.1,0,4.1,18,15.3,33.3,73.7,24.75,53.5,0,0,0,100,0,0
31/03/1960 00:00,20.9,12.9,0,4.2,14.9,11.7,47.4,78.7,16.9,63.05,0,0,0,100,0,0
01/04/1960 00:00,20,12.9,1.3,4.2,10.2,12.9,55.2,86.8,16.45,71,0,0,0,100,0,0
02/04/1960 00:00,20,10.6,0,4.2,17.7,10,42.8,78.3,15.3,60.55,0,0,0,100,0,0
03/04/1960 00:00,23.4,6.4,0,4.1,18.2,10.6,36.8,100,14.9,68.4,0,0,0,100,0,0
04/04/1960 00:00,20.2,11.5,0,4,17.2,11.7,49.4,86.3,15.85,67.85,0,0,0,100,0,0
05/04/1960 00:00,22.7,6.2,0,4,18.7,10.6,38.4,100,14.45,69.2,0,0,0,100,0,0
06/04/1960 00:00,28.3,9,0,3.9,18.1,9.5,24.7,82.8,18.65,53.75,0,0,0,100,0,0
07/04/1960 00:00,33.2,10.5,0,3.8,14.8,11.2,22,88.3,21.85,55.15,0,0,0,100,0,0
08/04/1960 00:00,19.7,15,0,3.8,5.6,15.7,68.4,92.1,17.35,80.25,0,0,0,100,0,0
09/04/1960 00:00,21.2,11.7,2.3,3.8,12.7,15.3,60.8,100,16.45,80.4,0,0,0,100,0,0
10/04/1960 00:00,19.9,9.1,0,3.7,11.7,13,56,100,14.5,78,0,0,0,100,0,0
11/04/1960 00:00,19.3,8.4,0,3.6,8.8,11.1,49.6,100,13.85,74.8,0,0,0,100,0,0
12/04/1960 00:00,22.8,10.4,0,3.6,7.5,11.6,41.8,92,16.6,66.9,0,0,0,100,0,0
13/04/1960 00:00,24.6,7.8,0,3.5,14.9,13.7,44.3,100,16.2,72.15,0,0,0,100,0,0
14/04/1960 00:00,23.6,13.5,0,3.4,11.4,15.2,52.2,98.3,18.55,75.25,0,0,0,100,0,0
15/04/1960 00:00,18.2,10.6,0,3.4,13.3,9.8,46.9,76.7,14.4,61.8,0,0,0,100,0,0
16/04/1960 00:00,18.8,9.4,0,3.3,6.9,11.8,54.4,100,14.1,77.2,0,0,0,100,0,0
17/04/1960 00:00,18.9,13.3,1.3,3.2,6.9,12.2,55.9,79.9,16.1,67.9,0,0,0,100,0,0
18/04/1960 00:00,18.9,12.2,2.3,3.2,8.4,12.7,58.2,89.4,15.55,73.8,0,0,0,100,0,0
19/04/1960 00:00,21.2,11.1,0,3.1,6.7,14.2,56.4,100,16.15,78.2,0,0,0,100,0,0
20/04/1960 00:00,14.6,10.5,2.5,3.1,4.3,13.1,78.9,100,12.55,89.45,0,0,0,100,0,0
21/04/1960 00:00,14.6,6.5,15.5,3.1,12.3,10.2,61.4,100,10.55,80.7,0,0,0,100,0,0
22/04/1960 00:00,14.4,6.7,20.3,3,11.7,9.3,56.7,94.8,10.55,75.75,0,0,0,100,0,0
23/04/1960 00:00,14.8,9.6,0,3,4.5,9.8,58.3,82,12.2,70.15,0,0,0,100,0,0
24/04/1960 00:00,15.5,8.3,0,2.9,5.5,9,51.1,82.3,11.9,66.7,0,0,0,100,0,0
25/04/1960 00:00,15.1,11.6,0,2.9,4,10,58.3,73.3,13.35,65.8,0,0,0,100,0,0
26/04/1960 00:00,14.8,10.1,14,2.8,7.5,12.4,73.7,100,12.45,86.85,0,0,0,100,0,0
27/04/1960 00:00,16.3,8.1,5.1,2.8,7.1,11.2,60.5,100,12.2,80.25,0,0,0,100,0,0
28/04/1960 00:00,18.4,11.2,19.1,2.7,10,12.4,58.6,93.3,14.8,75.95,0,0,0,100,0,0
29/04/1960 00:00,19.9,10.4,1.3,2.7,7.2,12.8,55.1,100,15.15,77.55,0,0,0,100,0,0
30/04/1960 00:00,18,10.6,0,2.6,4.2,12.5,60.6,97.9,14.3,79.25,0,0,0,100,0,0
01/05/1960 00:00,17.1,9.8,8.9,2.7,8.4,12.8,65.7,100,13.45,82.85,0,0,0,100,0,0
02/05/1960 00:00,15.5,8.9,6.6,2.7,6.1,10.2,58,89.5,12.2,73.75,0,0,0,100,0,0
03/05/1960 00:00,19.6,9.4,0,2.6,12,10.4,45.6,88.2,14.5,66.9,0,0,0,100,0,0
04/05/1960 00:00,15.8,8.5,10.2,2.6,8.7,10.6,59.1,95.6,12.15,77.35,0,0,0,100,0,0
05/05/1960 00:00,13.2,7.6,11.9,2.6,5.3,8.6,56.7,82.4,10.4,69.55,0,0,0,100,0,0
06/05/1960 00:00,15.1,8,16.5,2.5,8,11.3,65.9,100,11.55,82.95,0,0,0,100,0,0
07/05/1960 00:00,15.9,10.7,0,2.4,8.6,11,60.9,85.5,13.3,73.2,0,0,0,100,0,0
08/05/1960 00:00,14.2,10.1,0,2.4,6.1,8.5,52.5,68.8,12.15,60.65,0,0,0,100,0,0
09/05/1960 00:00,14.6,6.8,0,2.4,4.6,8.8,53,89.1,10.7,71.05,0,0,0,100,0,0
10/05/1960 00:00,17.4,5.6,0,2.3,10.5,9.1,45.8,100,11.5,72.9,0,0,0,100,0,0
11/05/1960 00:00,12,8.7,0,2.3,3.6,9,64.2,80.1,10.35,72.15,0,0,0,100,0,0
12/05/1960 00:00,12.7,7,12.7,2.2,7.3,8.7,59.3,86.9,9.85,73.1,0,0,0,100,0,0
13/05/1960 00:00,15.2,7.3,17.8,2.3,8.6,11.1,64.3,100,11.25,82.15,0,0,0,100,0,0
14/05/1960 00:00,14,9.2,10.2,2.2,8.9,10.2,63.8,87.7,11.6,75.75,0,0,0,100,0,0
15/05/1960 00:00,13.9,8.4,0,2.1,5.9,10,63,90.8,11.15,76.9,0,0,0,100,0,0
16/05/1960 00:00,14.4,8.2,9.7,2.1,10.1,10,61,92,11.3,76.5,0,0,0,100,0,0
17/05/1960 00:00,14.6,8.4,0,2,9.3,10.1,60.8,91.7,11.5,76.25,0,0,0,100,0,0
18/05/1960 00:00,14.8,3.9,0,1.9,11.7,9,53.5,100,9.35,76.75,0,0,0,100,0,0
19/05/1960 00:00,16.4,1.4,0,1.9,8.5,9.3,49.9,100,8.9,74.95,0,0,0,100,0,0
20/05/1960 00:00,15.7,3.3,0,1.9,4.3,10.3,57.8,100,9.5,78.9,0,0,0,100,0,0
21/05/1960 00:00,13.8,6,0,1.9,7.3,9.2,58.3,98.4,9.9,78.35,0,0,0,100,0,0
22/05/1960 00:00,12.4,7.7,0,1.9,3.9,10.3,71.6,98.1,10.05,84.85,0,0,0,100,0,0
23/05/1960 00:00,14.6,6.4,0,1.9,4.9,9.9,59.6,100,10.5,79.8,0,0,0,100,0,0
24/05/1960 00:00,16.7,3.8,0,1.9,10.3,9.1,47.9,100,10.25,73.95,0,0,0,100,0,0
25/05/1960 00:00,20.1,7.6,0,1.8,10.6,11.5,48.9,100,13.85,74.45,0,0,0,100,0,0
26/05/1960 00:00,20.5,12.6,0,1.8,5.8,13.1,54.3,89.8,16.55,72.05,0,0,0,100,0,0
27/05/1960 00:00,18.1,13.2,17.8,1.8,10,13.9,67,91.7,15.65,79.35,0,0,0,100,0,0
28/05/1960 00:00,18.5,8.7,0,1.9,11,10.2,47.9,90.7,13.6,69.3,0,0,0,100,0,0
29/05/1960 00:00,15.4,10.2,7.6,1.9,6,12.4,70.9,99.7,12.8,85.3,0,0,0,100,0,0
30/05/1960 00:00,14.6,9.4,6.4,1.9,7.5,11.2,67.4,95,12,81.2,0,0,0,100,0,0
31/05/1960 00:00,13.8,10.8,2.5,1.8,4,11.8,74.8,91.2,12.3,83,0,0,0,100,0,0
01/06/1960 00:00,14.7,9.8,0,1.7,3.4,11.8,70.6,97.5,12.25,84.05,0,0,0,100,0,0
02/06/1960 00:00,14.6,9,0,1.6,3.8,12.7,76.5,100,11.8,88.25,0,0,0,100,0,0
03/06/1960 00:00,13.9,4.8,0,1.6,9.2,9.8,61.7,100,9.35,80.85,0,0,0,100,0,0
04/06/1960 00:00,15.9,5.5,0,1.6,10.1,9.9,54.8,100,10.7,77.4,0,0,0,100,0,0
05/06/1960 00:00,14.6,7.8,0,1.7,5.7,9.6,57.8,90.8,11.2,74.3,0,0,0,100,0,0
06/06/1960 00:00,15.6,7.9,4.6,1.7,8.8,11.9,67.2,100,11.75,83.6,0,0,0,100,0,0
07/06/1960 00:00,15.9,4,0,1.6,8.5,10.4,57.6,100,9.95,78.8,0,0,0,100,0,0
08/06/1960 00:00,14.2,8.2,0,1.6,5.1,10.9,67.4,100,11.2,83.7,0,0,0,100,0,0
09/06/1960 00:00,16,6.8,10.2,1.6,8.5,11.2,61.6,100,11.4,80.8,0,0,0,100,0,0
10/06/1960 00:00,13.9,9.5,0,1.6,6.9,9.8,61.7,82.6,11.7,72.15,0,0,0,100,0,0
11/06/1960 00:00,13.9,6.3,0,1.5,7.9,9.2,58,96.4,10.1,77.2,0,0,0,100,0,0
12/06/1960 00:00,14.7,7.3,0,1.5,6.4,10.9,65.2,100,11,82.6,0,0,0,100,0,0
13/06/1960 00:00,14.6,6.4,0,1.5,10.4,9.7,58.4,100,10.5,79.2,0,0,0,100,0,0
14/06/1960 00:00,13,5.6,17.8,1.5,5.2,6.7,44.8,73.7,9.3,59.25,0,0,0,100,0,0
15/06/1960 00:00,12.2,8.7,10.9,1.4,6.6,9.9,69.7,88.1,10.45,78.9,0,0,0,100,0,0
16/06/1960 00:00,14.6,8,0,1.4,7.5,10.7,64.4,99.8,11.3,82.1,0,0,0,100,0,0
17/06/1960 00:00,14.6,6.8,0,1.4,8.3,10.5,63.2,100,10.7,81.6,0,0,0,100,0,0
18/06/1960 00:00,15,2.9,0,1.5,9,8.8,51.6,100,8.95,75.8,0,0,0,100,0,0
19/06/1960 00:00,13,4.8,0,1.5,4,8.9,59.5,100,8.9,79.75,0,0,0,100,0,0
20/06/1960 00:00,12.5,5.5,0,1.5,7.5,8.7,60.1,96.4,9,78.25,0,0,0,100,0,0
21/06/1960 00:00,13.6,0.3,0,1.5,9.9,7.9,50.8,100,6.95,75.4,0,0,0,100,0,0
22/06/1960 00:00,13.7,3.7,0,1.6,10,8.9,56.8,100,8.7,78.4,0,0,0,100,0,0
23/06/1960 00:00,12.7,1.2,0,1.7,9.3,7.9,53.8,100,6.95,76.9,0,0,0,100,0,0
24/06/1960 00:00,13.1,1,5.1,1.7,8,8.5,56.4,100,7.05,78.2,0,0,0,100,0,0
25/06/1960 00:00,14,4.6,0,1.7,7.8,9,56.3,100,9.3,78.15,0,0,0,100,0,0
26/06/1960 00:00,13.8,1,0,1.7,10.7,8,50.7,100,7.4,75.35,0,0,0,100,0,0
27/06/1960 00:00,14.4,1.3,0,1.7,10.6,9.1,55.5,100,7.85,77.75,0,0,0,100,0,0
28/06/1960 00:00,14.1,1.4,0,1.6,10.6,7.9,49.1,100,7.75,74.55,0,0,0,100,0,0
29/06/1960 00:00,15.3,2,0,1.6,10.6,7.6,43.7,100,8.65,71.85,0,0,0,100,0,0
30/06/1960 00:00,14.2,3.4,0,1.6,9.3,7.6,47,97.5,8.8,72.25,0,0,0,100,0,0
01/07/1960 00:00,13.4,2.9,0,1.6,8.5,8.1,52.7,100,8.15,76.35,0,0,0,100,0,0
02/07/1960 00:00,12.8,3.8,0,1.6,4.9,8,54.2,99.8,8.3,77,0,0,0,100,0,0
03/07/1960 00:00,13.7,4.5,0,1.6,8.5,9.1,58.1,100,9.1,79.05,0,0,0,100,0,0
04/07/1960 00:00,11.4,4.6,7.1,1.6,8.6,7.1,52.7,83.7,8,68.2,0,0,0,100,0,0
05/07/1960 00:00,13.5,5.2,0,1.6,8.3,9.1,58.8,100,9.35,79.4,0,0,0,100,0,0
06/07/1960 00:00,11.8,3.1,0,1.5,3.2,9.6,69.4,100,7.45,84.7,0,0,0,100,0,0
07/07/1960 00:00,13.2,3.8,0,1.5,9.6,7.1,46.8,88.6,8.5,67.7,0,0,0,100,0,0
08/07/1960 00:00,12.7,6.1,0,1.5,4.8,7.6,51.8,80.8,9.4,66.3,0,0,0,100,0,0
09/07/1960 00:00,14.1,8.8,0,1.5,8.4,11,68.4,97.2,11.45,82.8,0,0,0,100,0,0
10/07/1960 00:00,12.8,6.5,12.7,1.5,8.4,9.5,64.3,98.2,9.65,81.25,0,0,0,100,0,0
11/07/1960 00:00,12,2.1,5.8,1.6,9,8.9,63.5,100,7.05,81.75,0,0,0,100,0,0
12/07/1960 00:00,12.6,0.9,0,1.6,9.9,8.6,59,100,6.75,79.5,0,0,0,100,0,0
13/07/1960 00:00,12.8,1.9,0,1.6,5.2,7.8,52.8,100,7.35,76.4,0,0,0,100,0,0
14/07/1960 00:00,15,5.9,0,1.7,5.1,10.6,62.2,100,10.45,81.1,0,0,0,100,0,0
15/07/1960 00:00,14.9,7.6,0,1.7,5.9,11,65,100,11.25,82.5,0,0,0,100,0,0
16/07/1960 00:00,15.3,7,0,1.7,9.4,9.9,57,98.9,11.15,77.95,0,0,0,100,0,0
17/07/1960 00:00,12.5,6.7,5.1,1.7,6.2,10.3,71.1,100,9.6,85.55,0,0,0,100,0,0
18/07/1960 00:00,12.5,4.2,5.1,1.8,7.5,8.6,59.4,100,8.35,79.7,0,0,0,100,0,0
19/07/1960 00:00,12.2,3.8,0,1.8,8.3,9.5,66.9,100,8,83.45,0,0,0,100,0,0
20/07/1960 00:00,12.8,4,7.6,1.8,8,8.1,54.8,99.7,8.4,77.25,0,0,0,100,0,0
21/07/1960 00:00,15.3,6.2,0,1.8,3.2,7.8,44.9,82.3,10.75,63.6,0,0,0,100,0,0
22/07/1960 00:00,14.7,9.7,0,1.8,5.8,11.9,71.2,98.9,12.2,85.05,0,0,0,100,0,0
23/07/1960 00:00,12.3,3.8,0,1.8,8.2,8.4,58.8,100,8.05,79.4,0,0,0,100,0,0
24/07/1960 00:00,12.2,4.2,0,1.8,6.6,8,56.3,97,8.2,76.65,0,0,0,100,0,0
25/07/1960 00:00,13.4,7,6.4,1.9,3.9,8.1,52.7,80.9,10.2,66.8,0,0,0,100,0,0
26/07/1960 00:00,19.2,7.3,0,1.8,12.6,8.6,38.7,84.1,13.25,61.4,0,0,0,100,0,0
27/07/1960 00:00,18.1,5.2,0,1.9,5.7,9.2,44.3,100,11.65,72.15,0,0,0,100,0,0
28/07/1960 00:00,17.2,8,0,2,11.4,11.3,57.6,100,12.6,78.8,0,0,0,100,0,0
29/07/1960 00:00,16.6,6.8,0,2,7.2,10.9,57.7,100,11.7,78.85,0,0,0,100,0,0
30/07/1960 00:00,16.4,7.3,0,2,11.4,10.8,57.9,100,11.85,78.95,0,0,0,100,0,0
31/07/1960 00:00,14.9,8,0,2,10.1,10.7,63.2,99.8,11.45,81.5,0,0,0,100,0,0
01/08/1960 00:00,12.8,6.4,3.8,2,7.2,10,67.7,100,9.6,83.85,0,0,0,100,0,0
02/08/1960 00:00,13.3,3.2,0,2,12.1,9.6,62.9,100,8.25,81.45,0,0,0,100,0,0
03/08/1960 00:00,13.6,6.8,5.1,2,10.7,10.2,65.5,100,10.2,82.75,0,0,0,100,0,0
04/08/1960 00:00,13.6,4.9,0,2,9.3,9.7,62.3,100,9.25,81.15,0,0,0,100,0,0
05/08/1960 00:00,13.3,5.5,0,2.1,8.1,7.5,49.1,83.1,9.4,66.1,0,0,0,100,0,0
06/08/1960 00:00,14.6,0.2,0,2.2,12.9,7.8,47,100,7.4,73.5,0,0,0,100,0,0
07/08/1960 00:00,13.5,1.4,0,2.2,11.8,7.9,51.1,100,7.45,75.55,0,0,0,100,0,0
08/08/1960 00:00,11.6,5.8,5.3,2.3,6.6,9.5,69.6,100,8.7,84.8,0,0,0,100,0,0
09/08/1960 00:00,13.7,1.4,1.8,2.3,11.1,9.5,60.6,100,7.55,80.3,0,0,0,100,0,0
10/08/1960 00:00,13.6,1.8,0,2.3,10.4,9.1,58.5,100,7.7,79.25,0,0,0,100,0,0
11/08/1960 00:00,10.3,6.5,5.1,2.2,4.6,9.3,74.3,96.1,8.4,85.2,0,0,0,100,0,0
12/08/1960 00:00,11,3.6,19.1,2.3,7.8,7.9,60.2,100,7.3,80.1,0,0,0,100,0,0
13/08/1960 00:00,14.4,7.7,4.1,2.3,9,11.1,67.7,100,11.05,83.85,0,0,0,100,0,0
14/08/1960 00:00,14.8,8.3,0,2.3,10.6,10.9,64.8,99.6,11.55,82.2,0,0,0,100,0,0
15/08/1960 00:00,15.8,8,0,2.3,12.9,11.4,63.5,100,11.9,81.75,0,0,0,100,0,0
16/08/1960 00:00,19.2,6.3,0,2.4,15.4,8.3,37.3,87,12.75,62.15,0,0,0,100,0,0
17/08/1960 00:00,15.6,9,2,2.4,12.4,10.8,61,94.1,12.3,77.55,0,0,0,100,0,0
18/08/1960 00:00,15,1.1,0.8,2.4,12.4,9.3,54.6,100,8.05,77.3,0,0,0,100,0,0
19/08/1960 00:00,14.7,5.8,0,2.4,10.1,9.7,58,100,10.25,79,0,0,0,100,0,0
20/08/1960 00:00,13.7,2.7,0,2.5,14.6,9.5,60.6,100,8.2,80.3,0,0,0,100,0,0
21/08/1960 00:00,15.2,2.6,0,2.5,14.2,9,52.1,100,8.9,76.05,0,0,0,100,0,0
