Report ID: 359525,,,,,,,,,
Project ID: AWQC-180173,,,,,,,,,
Disclaimer: The data contained in this spreadsheet has been prepared by SA Water at your request and is subject to the terms and conditions of contract between SA Water and your company.  SA Water accepts no liability for and gives no undertakings or warranties concerning the accuracy completeness or fitness for purpose of this data for use by your company or any third party,,,,,,,,,
Sample ID,Sampled Date,Received Date,Sampling Point,S Point Description,Sample Description,Test Name,Result Name,Result Value,Units
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,TKN as N,"TKN as Nitrogen",3.32,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Phosphorus - Total,"Phosphorus - Total",0.037,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Chlorophyll a",68.1,µg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Phaeophytin a",26.4,µg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Algae - Total",1080000,cells/mL
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Blue Green Algae - Total",0,cells/mL
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Diatoms - Total",2,cells/mL
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Geosmin-MIB producing BGA - Total",0,cells/mL
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Green Algae - Total",1080000,cells/mL
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Toxin producing BGA - Total",0,cells/mL
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Algal Biovolume Comment",Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.,
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Chlorella",43.6,mm3/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Gyrosigma",<0.01,mm3/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Cryptomonads",<0.01,mm3/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Total Algae Biovolume",Not Calculated,mm3/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Total Blue_Green Algae Biovolume",0.00,mm3/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Total Diatom Biovolume",<0.01,mm3/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Total Green Algae Biovolume",Not Calculated,mm3/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Total Toxic BGA Biovolume",0.00,mm3/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Alkalinity as Calcium Carbonate",207,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Bicarbonate",253,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Carbonate",0,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Hydroxide",0,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Dissolved Organic Carbon,"Dissolved Organic Carbon",20.5,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Conductivity & Total Dissolved Solids,"Conductivity",76800,µS/cm
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Conductivity & Total Dissolved Solids,"Note",Conductivity measurement is corrected to 25°C,
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Conductivity & Total Dissolved Solids,"Total Dissolved Solids (by EC)",60100,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Turbidity,"Turbidity",11,NTU
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Total Organic Carbon,"Total Organic Carbon",25.6,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Suspended Solids,"Suspended Solids",10,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,pH,"pH",8.1,pH units
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,pH,"Temperature at which pH is measured",21.9,°C
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Nitrate + Nitrite as N,"Nitrate + Nitrite as N",8.8,µg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Nitrate + Nitrite as N,"Nitrate + Nitrite as NO3",39.0,µg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Phosphorus - Filterable Reactive as P,"Phosphorus -Filterable Reactive as PO4",<1.5,µg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Phosphorus - Filterable Reactive as P,"Phosphorus-Filterable Reactive as P",0.5,µg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Ammonia as N,"Ammonia as N",26,µg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Nitrogen - Total,"Nitrogen - Total",3.33,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Chloride,"Chloride",32500,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Silica - Reactive,"Silica - Reactive",0.74,mg/L
2023-001-0313,15/03/2023 11:25:00 AM,16/03/2023 09:16:23 AM,31525,EPA - Villa de Yumpa,,Algal Identification,"Chlorella",968000,cells/mL
