Site,WQ_DIAG_NCS_FS001,WQ_DIAG_NCS_FS002,WQ_DIAG_NCS_FS003,WQ_DIAG_NCS_FS004,WQ_DIAG_NCS_FS005,WQ_DIAG_NCS_FS1,WQ_DIAG_SDG_AVS,WQ_DIAG_SDG_CRS,WQ_DIAG_SDG_EC15,WQ_DIAG_SDG_MOISTURE,WQ_DIAG_SDG_PASS,WQ_DIAG_SDG_PH15,WQ_DIAG_SDG_TFE,WQ_DIAG_SDG_TIC,WQ_DIAG_SDG_TN,WQ_DIAG_SDG_TOC,WQ_DIAG_SDG_TP,WQ_DIAG_TC,
COOR_01,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_03,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_04,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_07,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_09,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_17,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_27_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_27_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_27_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_28,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_32,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_33,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_34,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_45,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
COOR_50,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
