Report ID: 290919,,,,,,,,,
Project ID: AWQC-148131,,,,,,,,,
Disclaimer: The data contained in this spreadsheet has been prepared by SA Water at your request and is subject to the terms and conditions of contract between SA Water and your company.  SA Water accepts no liability for and gives no undertakings or warranties concerning the accuracy completeness or fitness for purpose of this data for use by your company or any third party,,,,,,,,,
Sample ID,Sampled Date,Received Date,Sampling Point,S Point Description,Sample Description,Test Name,Result Name,Result Value,Units
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Phosphorus - Total,"Phosphorus - Total",0.110,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,TKN as N,"TKN as Nitrogen",3.38,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Chlorophyll a",19.9,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Phaeophytin a",6.26,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Alkalinity as Calcium Carbonate",201,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Bicarbonate",245,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Carbonate",0,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Hydroxide",0,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Chloride,"Chloride",43500,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,pH,"pH",8.2,pH units
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,pH,"Temperature at which pH is measured",22.5,°C
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Silica - Reactive,"Silica - Reactive",0.31,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Turbidity,"Turbidity",8.0,NTU
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Volatile Suspended Solids,"Fixed Solids",12,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Volatile Suspended Solids,"Volatile Suspended Solids",13,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Suspended Solids,"Suspended Solids",25,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Total Organic Carbon,"Total Organic Carbon",23.1,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Dissolved Organic Carbon,"Dissolved Organic Carbon",19.5,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Total Dissolved Solids by Evaporation,"Total Dissolved Solids (by evaporation)",85600,mg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Ammonia as N,"Ammonia as N",80,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Phosphorus - Filterable Reactive as P,"Phosphorus -Filterable Reactive as PO4",20.93,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Phosphorus - Filterable Reactive as P,"Phosphorus-Filterable Reactive as P",7.0,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Nitrate + Nitrite as N,"Nitrate + Nitrite as N",11.7,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Nitrate + Nitrite as N,"Nitrate + Nitrite as NO3",51.8,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Nitrate + Nitrite as N,"Nitrate as Nitrogen",9.36,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Nitrite as N,"Nitrite as N",2.3,µg/L
2020-004-1786,23/06/2020 01:10:00 PM,24/06/2020 10:51:51 AM,31525,EPA - Villa de Yumpa,,Nitrogen - Total,"Nitrogen - Total",3.39,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Phosphorus - Total,"Phosphorus - Total",0.130,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,TKN as N,"TKN as Nitrogen",1.73,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Chlorophyll a & Phaeophytin a,"Chlorophyll a",24.1,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Chlorophyll a & Phaeophytin a,"Phaeophytin a",8.69,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Alkalinity as Calcium Carbonate",108,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Bicarbonate",131,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Carbonate",0,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Hydroxide",0,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Chloride,"Chloride",2520,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,pH,"pH",8.0,pH units
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,pH,"Temperature at which pH is measured",22.3,°C
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Silica - Reactive,"Silica - Reactive",0.36,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Turbidity,"Turbidity",31,NTU
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Volatile Suspended Solids,"Fixed Solids",24,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Volatile Suspended Solids,"Volatile Suspended Solids",25,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Suspended Solids,"Suspended Solids",49,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Total Organic Carbon,"Total Organic Carbon",19.2,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Dissolved Organic Carbon,"Dissolved Organic Carbon",7.3,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Total Dissolved Solids by Evaporation,"Total Dissolved Solids (by evaporation)",4960,mg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Ammonia as N,"Ammonia as N",4,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Phosphorus - Filterable Reactive as P,"Phosphorus -Filterable Reactive as PO4",11.661,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Phosphorus - Filterable Reactive as P,"Phosphorus-Filterable Reactive as P",3.9,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Nitrate + Nitrite as N,"Nitrate + Nitrite as N",21.1,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Nitrate + Nitrite as N,"Nitrate + Nitrite as NO3",93.5,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Nitrate + Nitrite as N,"Nitrate as Nitrogen",18.4,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Nitrite as N,"Nitrite as N",2.7,µg/L
2020-004-1787,23/06/2020 05:15:00 PM,24/06/2020 10:36:59 AM,353180,EPA -  Tauwitchere,,Nitrogen - Total,"Nitrogen - Total",1.75,mg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,Phosphorus - Total,"Phosphorus - Total",0.055,mg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,TKN as N,"TKN as Nitrogen",0.91,mg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,Chlorophyll a & Phaeophytin a,"Chlorophyll a",2.36,µg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,Chlorophyll a & Phaeophytin a,"Phaeophytin a",1.92,µg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Alkalinity as Calcium Carbonate",134,mg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Bicarbonate",164,mg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Carbonate",0,mg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Hydroxide",0,mg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,Chloride,"Chloride",16900,mg/L
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,pH,"pH",8.0,pH units
2020-004-1788,23/06/2020 01:35:00 PM,24/06/2020 10:37:14 AM,31523,EPA - Long Point,,pH,"Temperature at which pH is measured",22.5,°C
