Report ID: 368276,,,,,,,,,
Project ID: AWQC-183487,,,,,,,,,
Disclaimer: The data contained in this spreadsheet has been prepared by SA Water at your request and is subject to the terms and conditions of contract between SA Water and your company.  SA Water accepts no liability for and gives no undertakings or warranties concerning the accuracy completeness or fitness for purpose of this data for use by your company or any third party,,,,,,,,,
Sample ID,Sampled Date,Received Date,Sampling Point,S Point Description,Sample Description,Test Name,Result Name,Result Value,Units
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Chlorophyll a",121,µg/L
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Phaeophytin a",45.1,µg/L
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Algae - Total",1550000,cells/mL
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Blue Green Algae - Total",0,cells/mL
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Diatoms - Total",40,cells/mL
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Geosmin-MIB producing BGA - Total",0,cells/mL
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Green Algae - Total",1550000,cells/mL
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Count - Total,"Toxin producing BGA - Total",0,cells/mL
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Algal Biovolume Comment",Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.,
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Chlorella",63.9,mm3/L
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Nitzschia",0.01,mm3/L
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Chroomonas",<0.01,mm3/L
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Total Algae Biovolume",Not Calculated,mm3/L
2023-004-3055,27/07/2023 10:45:00 AM,27/07/2023 04:25:33 PM,31525,EPA - Villa de Yumpa,,Algal Biovolume,"Total Blue_Green Algae Biovolume",0.00,mm3/L
